ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): WEST VIRGINIA

School Name,State Name [Public School] Latest available year,School ID (7-digit) – NCES Assigned [Public School] 2024-25,School Name [Public School] 2024-25,County Name [Public School] 2024-25,Locale [Public School] 2024-25,Locale [Public School] 2023-24,Locale [Public School] 2022-23,Locale [Public School] 2021-22,Locale [Public School] 2020-21,Locale [Public School] 2019-20,Locale [Public School] 2018-19,Locale [Public School] 2017-18,Locale [Public School] 2016-17,Locale [Public School] 2015-16,Locale [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2024-25,Total Students All Grades (Excludes AE) [Public School] 2023-24,Total Students All Grades (Excludes AE) [Public School] 2022-23,Total Students All Grades (Excludes AE) [Public School] 2021-22,Total Students All Grades (Excludes AE) [Public School] 2020-21,Total Students All Grades (Excludes AE) [Public School] 2019-20,Total Students All Grades (Excludes AE) [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2016-17,Total Students All Grades (Excludes AE) [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2014-15,Free Lunch Eligible [Public School] 2024-25,Free Lunch Eligible [Public School] 2023-24,Free Lunch Eligible [Public School] 2022-23,Free Lunch Eligible [Public School] 2021-22,Free Lunch Eligible [Public School] 2020-21,Free Lunch Eligible [Public School] 2019-20,Free Lunch Eligible [Public School] 2018-19,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2016-17,Free Lunch Eligible [Public School] 2015-16,Free Lunch Eligible [Public School] 2014-15,Reduced-price Lunch Eligible Students [Public School] 2024-25,Reduced-price Lunch Eligible Students [Public School] 2023-24,Reduced-price Lunch Eligible Students [Public School] 2022-23,Reduced-price Lunch Eligible Students [Public School] 2021-22,Reduced-price Lunch Eligible Students [Public School] 2020-21,Reduced-price Lunch Eligible Students [Public School] 2019-20,Reduced-price Lunch Eligible Students [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2015-16,Reduced-price Lunch Eligible Students [Public School] 2014-15,Free and Reduced Lunch Students [Public School] 2024-25,Free and Reduced Lunch Students [Public School] 2023-24,Free and Reduced Lunch Students [Public School] 2022-23,Free and Reduced Lunch Students [Public School] 2021-22,Free and Reduced Lunch Students [Public School] 2020-21,Free and Reduced Lunch Students [Public School] 2019-20,Free and Reduced Lunch Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2016-17,Free and Reduced Lunch Students [Public School] 2015-16,Free and Reduced Lunch Students [Public School] 2014-15
SOUTH CHARLESTON HIGH SCHOOL,West Virginia,5400442,South Charleston High School,Kanawha County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,874,913,952,990,961,938,917,954,1003,968,974,–,–,–,–,–,–,–,–,–,430,398,–,–,–,–,–,–,–,–,–,32,45,–,–,–,–,475,418,418,463,326,462,443
SOUTH CHARLESTON MIDDLE SCHOOL,West Virginia,5400443,South Charleston Middle School,Kanawha County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,354,364,350,371,382,373,352,339,360,392,393,–,–,–,–,–,–,–,–,–,–,176,–,–,–,–,–,–,–,–,–,–,19,–,–,–,–,209,167,167,168,120,164,195
SOUTH HARRISON HIGH SCHOOL,West Virginia,5400314,South Harrison High School,Harrison County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,365,348,349,344,337,331,334,356,367,391,409,–,–,–,–,–,–,–,–,–,153,142,–,–,–,–,–,–,–,–,–,33,42,–,–,–,–,100,99,99,170,78,186,184
SOUTH HARRISON MIDDLE SCHOOL,West Virginia,5400864,South Harrison Middle School,Harrison County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,244,254,274,285,305,296,301,279,258,249,251,–,–,–,–,–,–,–,–,–,101,95,–,–,–,–,–,–,–,–,–,15,21,–,–,–,–,106,103,103,132,72,116,116
SOUTH JEFFERSON ELEMENTARY SCHOOL,West Virginia,5400350,South Jefferson Elementary School,Jefferson County,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,453,448,458,436,437,491,477,495,505,480,493,–,–,–,–,–,–,–,–,187,194,171,–,–,–,–,–,–,–,–,30,17,26,–,–,–,–,180,240,240,234,217,211,197
SOUTH MAN ELEMENTARY SCHOOL,West Virginia,5400532,South Man Elementary School,Logan County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,90,68,133,144,172,172,171,160,147,167,132,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,110,100,100,100,79,93,71
SOUTH MIDDLE SCHOOL,West Virginia,5401299,South Middle School,Monongalia County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,784,768,755,764,766,791,786,788,759,761,732,–,–,–,–,–,–,–,–,248,268,230,–,–,–,–,–,–,–,–,29,25,38,–,–,–,–,287,331,331,336,277,293,268
SOUTH PRESTON MIDDLE SCHOOL,West Virginia,†,†,†,†,†,†,†,†,†,†,†,†,†,42-Rural: Distant,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SOUTH PRESTON SCHOOL,WEST VIRGINIA,5401522,South Preston School,Preston County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,†,†,312,330,342,355,371,369,385,391,376,†,†,–,–,–,–,–,–,–,–,–,†,†,–,–,–,–,–,–,–,–,–,†,†,–,–,–,–,200,208,208,219,173,†,†
SOUTHSIDE ELEMENTARY,West Virginia,5401466,Southside Elementary,Cabell County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,387,396,400,429,473,492,522,448,458,503,490,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,203,234,234,227,166,236,212
SOUTHSIDE K-8,West Virginia,5401468,Southside K-8,McDowell County,43-Rural: Remote,43-Rural: Remote,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,266,293,314,319,329,329,372,394,433,420,451,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,243,281,281,291,304,300,266
SPANISHBURG,West Virginia,5400705,Spanishburg,Mercer County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,159,182,181,183,186,188,178,197,196,207,213,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,94,89,89,131,77,94,92
SPENCER ELEMENTARY SCHOOL,West Virginia,5401031,Spencer Elementary School,Roane County,42-Rural: Distant,42-Rural: Distant,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,413,427,454,445,420,478,503,552,559,498,502,–,–,–,–,–,–,–,–,–,313,317,–,–,–,–,–,–,–,–,–,29,32,–,–,–,–,243,298,298,389,291,342,349
SPENCER MIDDLE SCHOOL,West Virginia,5401270,Spencer Middle School,Roane County,42-Rural: Distant,42-Rural: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,299,315,331,335,358,376,377,413,429,408,394,–,–,–,–,–,–,–,–,–,238,231,–,–,–,–,–,–,–,–,–,22,20,–,–,–,–,183,195,195,267,197,260,251
SPRING HILL ELEMENTARY SCHOOL,West Virginia,5401308,Spring Hill Elementary School,Cabell County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,381,372,381,358,389,393,427,491,537,553,573,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,305,354,354,431,404,449,467
SPRING MILLS HIGH SCHOOL,West Virginia,5401487,Spring Mills High School,Berkeley County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,1544,1547,1480,1414,1395,1380,1321,1327,1318,1252,1163,–,–,–,–,–,–,–,–,443,432,409,–,–,–,–,–,–,–,–,58,82,77,–,–,–,–,530,594,594,594,501,514,486
SPRING MILLS MIDDLE SCHOOL,West Virginia,5401207,Spring Mills Middle School,Berkeley County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,945,930,964,921,896,907,877,809,798,793,756,–,–,–,–,–,–,–,–,254,286,271,–,–,–,–,–,–,–,–,52,46,63,–,–,–,–,403,430,430,374,306,332,334
SPRING MILLS PRIMARY,West Virginia,5401479,Spring Mills Primary,Berkeley County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,545,540,517,494,486,510,511,494,494,469,436,–,–,–,–,–,–,–,–,187,202,193,–,–,–,–,–,–,–,–,34,29,36,–,–,–,–,208,255,255,228,221,231,229
SPRING VALLEY HIGH SCHOOL,West Virginia,5401023,Spring Valley High School,Wayne County,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,946,985,910,953,951,997,1014,1012,1036,1050,1069,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,356,406,406,458,261,329,286
SPRINGFIELD-GREEN SPRING ELEMENTARY SCH,West Virginia,†,†,†,†,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,†,71,87,101,109,114,115,122,123,122,127,†,–,–,–,–,–,–,–,80,84,83,†,–,–,–,–,–,–,–,17,9,10,†,–,–,–,68,90,90,85,97,93,93
ST. MARYS CORRECTIONAL CENTER - ADULT,WEST VIRGINIA,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ST. MARYS ELEMENTARY SCHOOL,West Virginia,5400888,St. Marys Elementary School,Pleasants County,42-Rural: Distant,42-Rural: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,232,232,234,230,215,239,240,233,237,233,259,–,–,–,–,–,–,–,–,110,96,101,–,–,–,–,–,–,–,–,11,16,19,–,–,–,–,103,111,111,138,121,112,120
ST. MARYS HIGH SCHOOL,West Virginia,5400889,St. Marys High School,Pleasants County,42-Rural: Distant,42-Rural: Distant,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,32-Town: Distant,309,298,324,320,315,338,335,367,380,391,391,–,–,–,–,–,–,–,–,123,150,131,–,–,–,–,–,–,–,–,36,39,51,–,–,–,–,107,124,124,180,159,189,182
STANAFORD ELEMENTARY SCHOOL,West Virginia,5400985,Stanaford Elementary School,Raleigh County,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,199,224,233,232,231,268,270,287,317,325,315,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,146,148,148,162,159,157,134
STEENROD ELEMENTARY SCHOOL,West Virginia,5400868,Steenrod Elementary School,Ohio County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,256,268,278,270,262,269,279,283,286,317,304,–,–,–,–,–,–,–,–,–,74,74,–,–,–,–,–,–,–,–,–,17,8,–,–,–,–,64,65,65,82,49,91,82
STEPPING STONES,WEST VIRGINIA,†,†,†,†,†,†,41-Rural: Fringe,41-Rural: Fringe,†,†,†,†,†,†,†,†,†,3,6,†,†,†,†,†,†,†,†,†,–,‡,†,†,†,†,†,†,†,†,†,–,‡,†,†,†,†,†,†,†,†,†,–,‡,†,†,†,†,†,†
STRALEY ELEMENTARY SCHOOL,West Virginia,5401311,Straley Elementary School,Mercer County,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,172,171,152,141,139,148,163,181,180,171,167,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,103,114,114,138,98,110,85
STRATTON ELEMENTARY,West Virginia,5401012,Stratton Elementary,Raleigh County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,312,328,279,262,236,243,227,272,279,263,284,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,196,190,190,232,222,188,194
SUMMERS COUNTY HIGH SCHOOL,West Virginia,†,†,†,†,†,†,†,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,†,†,†,†,429,442,438,428,414,401,403,†,†,†,†,–,–,–,–,–,–,–,†,†,†,†,–,–,–,–,–,–,–,†,†,†,†,242,228,228,247,158,184,158
SUMMERS MIDDLE SCHOOL,West Virginia,†,†,†,†,†,†,†,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,†,†,†,†,337,353,341,413,458,422,411,†,†,†,†,–,–,–,–,–,–,–,†,†,†,†,–,–,–,–,–,–,–,†,†,†,†,208,188,188,291,206,217,175
SUMMERSVILLE ELEMENTARY SCHOOL,West Virginia,5400849,Summersville Elementary School,Nicholas County,42-Rural: Distant,42-Rural: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,331,369,361,377,352,396,422,452,447,441,431,–,–,–,–,–,–,–,–,–,251,232,–,–,–,–,–,–,–,–,–,36,25,–,–,–,–,182,229,229,287,190,287,257
SUMMERSVILLE MIDDLE SCHOOL,West Virginia,5401262,Summersville Middle School,Nicholas County,42-Rural: Distant,42-Rural: Distant,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,509,549,555,576,591,593,589,532,513,523,541,–,–,–,–,–,–,–,–,–,290,264,–,–,–,–,–,–,–,–,–,40,50,–,–,–,–,282,286,286,330,185,330,314
SUMMIT SUCCESS CENTER,WEST VIRGINIA,5401602,Summit Success Center,Wood County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,†,†,†,†,†,†,–,–,†,–,†,†,†,†,†,†,†,–,–,†,–,†,†,†,†,†,†,†,–,–,†,–,†,†,†,†,†,†,†,–,–,†,–,†,†,†,†,†,†,†
SUN VALLEY ELEMENTARY SCHOOL,West Virginia,5400707,Sun Valley Elementary School,Mercer County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,117,107,110,94,100,107,131,133,129,131,121,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,35,71,71,79,61,61,50
SUNCREST ELEMENTARY SCHOOL,West Virginia,5400802,Suncrest Elementary School,Monongalia County,13-City: Small,13-City: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,13-City: Small,13-City: Small,13-City: Small,568,546,567,519,490,510,515,482,367,305,285,–,–,–,–,–,–,–,–,75,70,61,–,–,–,–,–,–,–,–,22,9,20,–,–,–,–,160,205,204,160,97,79,81
SUNCREST MIDDLE SCHOOL,West Virginia,5400801,Suncrest Middle School,Monongalia County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,499,498,501,482,495,502,510,494,511,500,518,–,–,–,–,–,–,–,–,120,130,121,–,–,–,–,–,–,–,–,28,20,34,–,–,–,–,180,167,167,163,148,150,155
SUTTON ELEMENTARY SCHOOL,West Virginia,5400069,Sutton Elementary School,Braxton County,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,166,149,159,160,156,193,215,229,231,238,212,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,104,132,132,161,111,116,106
T A LOWERY ELEMENTARY SCHOOL,West Virginia,5400057,T A Lowery Elementary School,Jefferson County,31-Town: Fringe,31-Town: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,531,492,522,555,506,553,529,551,544,519,572,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,224,275,275,302,247,230,236
TALCOTT ELEMENTARY SCHOOL,West Virginia,5401048,Talcott Elementary School,Summers County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,160,160,165,173,185,196,190,190,179,197,204,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,125,106,106,143,84,106,105
TAYLOR COUNTY MIDDLE SCHOOL,West Virginia,5401462,Taylor County Middle School,Taylor County,41-Rural: Fringe,41-Rural: Fringe,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,640,651,685,688,701,711,697,727,722,723,700,–,–,–,–,–,–,–,–,314,331,293,–,–,–,–,–,–,–,–,22,19,37,–,–,–,–,287,338,338,338,336,350,330
TAYLOR COUNTY VOCATIONAL CENTER,West Virginia,†,†,†,†,†,†,†,†,†,†,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,†,†,†,†,†,†,†,–,0,0,0,†,†,†,†,†,†,†,–,–,†,0,†,†,†,†,†,†,†,–,–,†,0,†,†,†,†,†,†,†,–,–,†,0
TENNERTON ELEMENTARY,West Virginia,5401088,Tennerton Elementary,Upshur County,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,289,304,336,304,319,346,296,308,305,308,306,–,–,–,–,–,–,–,–,–,–,130,–,–,–,–,–,–,–,–,–,–,26,–,–,–,–,156,129,129,158,107,104,156
TERRA ALTA/EAST PRESTON SCHOOL,West Virginia,5400913,Terra Alta/East Preston School,Preston County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,283,303,310,338,344,376,354,387,418,421,395,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,191,200,200,265,223,206,161
THE ACHIEVEMENT CENTER,WEST VIRGINIA,5401607,The Achievement Center,Greenbrier County,32-Town: Distant,32-Town: Distant,32-Town: Distant,†,†,†,†,†,†,†,†,32,37,29,†,†,†,†,†,†,†,†,–,–,–,†,†,†,†,†,†,†,†,–,–,–,†,†,†,†,†,†,†,†,–,–,–,†,†,†,†,†,†,†,†
THE BRUIN BRIDGE,WEST VIRGINIA,5401587,The Bruin Bridge,Brooke County,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,13-City: Small,13-City: Small,13-City: Small,†,†,†,†,–,–,†,–,–,0,–,†,†,†,†,–,–,†,–,–,–,–,†,†,†,†,–,–,†,–,–,–,–,†,†,†,†,–,–,†,–,–,–,–,†,†,†,†
TIMBERWOOD ELEMENTARY SCHOOL,WEST VIRGINIA,5401628,Timberwood Elementary School,Mercer County,41-Rural: Fringe,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
TOLSIA HIGH SCHOOL,West Virginia,5401435,Tolsia High School,Wayne County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,349,345,367,376,374,384,393,391,418,410,396,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,197,235,235,249,202,209,173
TOMAHAWK INTERMEDIATE SCHOOL,West Virginia,5401449,Tomahawk Intermediate School,Berkeley County,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,627,635,601,617,593,604,600,627,603,567,548,–,–,–,–,–,–,–,–,247,235,219,–,–,–,–,–,–,–,–,42,40,41,–,–,–,–,283,304,304,325,289,275,260
TRAP HILL MIDDLE SCHOOL,West Virginia,5400990,Trap Hill Middle School,Raleigh County,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,331,347,376,392,400,424,407,425,412,435,406,–,–,–,–,–,–,–,–,243,243,196,–,–,–,–,–,–,–,–,33,42,25,–,–,–,–,253,269,269,302,276,285,221
TRIADELPHIA MIDDLE SCHOOL,West Virginia,5400869,Triadelphia Middle School,Ohio County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,387,409,390,374,407,455,468,450,433,429,443,–,–,–,–,–,–,–,–,–,152,142,–,–,–,–,–,–,–,–,–,13,20,–,–,–,–,165,160,160,175,133,165,162
TROY ELEMENTARY SCHOOL,West Virginia,†,†,†,†,†,†,†,†,†,†,†,†,42-Rural: Distant,42-Rural: Distant,†,†,†,†,†,†,†,†,†,†,92,†,†,†,†,†,†,†,†,†,†,–,†,†,†,†,†,†,†,†,†,†,–,†,†,†,†,†,†,†,†,†,†,28
TUCKER COUNTY HIGH SCHOOL,West Virginia,5401272,Tucker County High School,Tucker County,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,279,293,293,288,303,300,321,303,302,333,324,–,–,–,–,–,–,–,–,122,135,113,–,–,–,–,–,–,–,–,30,40,33,–,–,–,–,100,183,183,163,152,175,146
TUCKER VALLEY ELEMENTARY MIDDLE SCHOOL,West Virginia,5400851,Tucker Valley Elementary Middle School,Tucker County,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,450,455,463,473,446,487,481,495,476,483,487,–,–,–,–,–,–,–,–,215,245,226,–,–,–,–,–,–,–,–,53,66,74,–,–,–,–,189,234,234,302,268,311,300
TUG VALLEY HIGH SCHOOL,West Virginia,5401407,Tug Valley High School,Mingo County,43-Rural: Remote,43-Rural: Remote,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,315,335,382,371,368,360,364,381,377,366,406,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,212,201,201,233,153,168,149
TUNNELTON-DENVER ELEMENTARY,West Virginia,†,†,†,†,†,†,†,†,†,†,†,†,†,42-Rural: Distant,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
