ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): WEST VIRGINIA

School Name,State Name [Public School] Latest available year,School ID (7-digit) – NCES Assigned [Public School] 2024-25,School ID (7-digit) – NCES Assigned [Public School] 2023-24,School ID (7-digit) – NCES Assigned [Public School] 2022-23,School ID (7-digit) – NCES Assigned [Public School] 2021-22,School ID (7-digit) – NCES Assigned [Public School] 2020-21,School ID (7-digit) – NCES Assigned [Public School] 2019-20,School ID (7-digit) – NCES Assigned [Public School] 2018-19,School ID (7-digit) – NCES Assigned [Public School] 2017-18,School ID (7-digit) – NCES Assigned [Public School] 2016-17,School ID (7-digit) – NCES Assigned [Public School] 2015-16,School ID (7-digit) – NCES Assigned [Public School] 2014-15,School Name [Public School] 2024-25,Agency Name [Public School] 2024-25,County Name [Public School] 2024-25,Start of Year Status [Public School] 2024-25,Start of Year Status [Public School] 2023-24,Start of Year Status [Public School] 2022-23,Start of Year Status [Public School] 2021-22,Start of Year Status [Public School] 2020-21,Start of Year Status [Public School] 2019-20,Start of Year Status [Public School] 2018-19,Start of Year Status [Public School] 2017-18,Start of Year Status [Public School] 2016-17,Start of Year Status [Public School] 2015-16,Start of Year Status [Public School] 2014-15,Updated Status [Public School] 2024-25,Updated Status [Public School] 2023-24,Updated Status [Public School] 2022-23,Updated Status [Public School] 2021-22,Updated Status [Public School] 2020-21,Updated Status [Public School] 2019-20,Updated Status [Public School] 2018-19,Updated Status [Public School] 2017-18,Updated Status [Public School] 2016-17,Updated Status [Public School] 2015-16,Updated Status [Public School] 2014-15,Effective Date of Updated Status [Public School] 2024-25,Effective Date of Updated Status [Public School] 2023-24,Effective Date of Updated Status [Public School] 2022-23,Effective Date of Updated Status [Public School] 2021-22,Effective Date of Updated Status [Public School] 2020-21,Effective Date of Updated Status [Public School] 2019-20,Effective Date of Updated Status [Public School] 2018-19,Effective Date of Updated Status [Public School] 2017-18,Effective Date of Updated Status [Public School] 2016-17,Effective Date of Updated Status [Public School] 2015-16,Effective Date of Updated Status [Public School] 2014-15,Latitude [Public School] 2024-25,Latitude [Public School] 2023-24,Latitude [Public School] 2022-23,Latitude [Public School] 2021-22,Latitude [Public School] 2020-21,Latitude [Public School] 2019-20,Latitude [Public School] 2018-19,Latitude [Public School] 2017-18,Latitude [Public School] 2016-17,Latitude [Public School] 2015-16,Latitude [Public School] 2014-15,Longitude [Public School] 2024-25,Longitude [Public School] 2023-24,Longitude [Public School] 2022-23,Longitude [Public School] 2021-22,Longitude [Public School] 2020-21,Longitude [Public School] 2019-20,Longitude [Public School] 2018-19,Longitude [Public School] 2017-18,Longitude [Public School] 2016-17,Longitude [Public School] 2015-16,Longitude [Public School] 2014-15
PRUNTYTOWN CORRECTIONAL CENTER - ADULT,WEST VIRGINIA,†,†,†,†,†,†,†,†,†,5401539,†,†,†,†,†,†,†,†,†,†,†,†,†,7-Future,†,†,†,†,†,†,†,†,†,†,7-Future,†,†,†,†,†,†,†,†,†,†,10/27/16           ,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
PT. PLEASANT INTERMEDIATE,West Virginia,5401136,5401136,5401136,5401136,5401136,5401136,5401136,5401136,5401136,5401136,5401136,Pt. Pleasant Intermediate,Mason County Schools,Mason County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:15:29 ,38.872945,38.872945,38.872945,38.872945,38.872945,38.872945,38.872945,38.872945,38.872945,38.872945,38.872945,-82.127633,-82.127633,-82.127633,-82.127633,-82.127633,-82.127633,-82.127633,-82.127633,-82.127633,-82.127633,-82.127633
PT. PLEASANT PRIMARY,West Virginia,5401086,5401086,5401086,5401086,5401086,5401086,5401086,5401086,5401086,5401086,5401086,Pt. Pleasant Primary,Mason County Schools,Mason County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:15:28 ,38.863713,38.863713,38.863713,38.863713,38.863713,38.863713,38.863713,38.863713,38.863713,38.863328,38.863328,-82.130113,-82.130113,-82.130113,-82.130113,-82.130113,-82.130113,-82.130113,-82.130113,-82.130113,-82.129619,-82.129619
PUTNAM CAREER & TECHNICAL CENTER,West Virginia,5400933,5400933,5400933,5400933,5400933,5400933,5400933,5400933,5400933,5400933,5400933,Putnam Career & Technical Center,Putnam County Schools,Putnam County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:17:02 ,38.535090,38.535090,38.535090,38.535090,38.535090,38.535090,38.535090,38.535090,38.535090,38.535150,38.535150,-81.923630,-81.923630,-81.923630,-81.923630,-81.923630,-81.923630,-81.923630,-81.923630,-81.923630,-81.923446,-81.923446
RAINELLE ELEMENTARY,West Virginia,5400237,5400237,5400237,5400237,5400237,5400237,5400237,5400237,5400237,5400237,5400237,Rainelle Elementary,Greenbrier County Schools,Greenbrier County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:13:12 ,37.968506,37.968506,37.968506,37.968506,37.968506,37.968506,37.968506,37.968506,37.968080,37.968080,37.967950,-80.780193,-80.780193,-80.780193,-80.780193,-80.780193,-80.780193,-80.780193,-80.780193,-80.780111,-80.780111,-80.780122
RALEIGH-BOONE TECHNICAL CENTER,West Virginia,†,†,†,†,†,†,†,†,†,5401014,5401014,†,†,†,†,†,†,†,†,†,†,†,†,1-Open,1-Open,†,†,†,†,†,†,†,†,†,1-Open,1-Open,†,†,†,†,†,†,†,†,†,08/08/16           ,19FEB2015:10:17:17 ,†,†,†,†,†,†,†,†,†,37.958408,37.958408,†,†,†,†,†,†,†,†,†,-81.535036,-81.535036
RALPH R WILLIS CAREER/TECHNICAL CENTER,West Virginia,5401395,5401395,5401395,5401395,5401395,5401395,5401395,5401395,5401395,5401395,5401395,Ralph R Willis Career/Technical Center,Logan County Schools,Logan County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:15:07 ,37.826947,37.826947,37.826947,37.826947,37.826947,37.826947,37.826947,37.826947,37.826947,37.826947,37.826947,-81.942760,-81.942760,-81.942760,-81.942760,-81.942760,-81.942760,-81.942760,-81.942760,-81.942760,-81.942760,-81.942760
RAMAGE ELEMENTARY,West Virginia,5400048,5400048,5400048,5400048,5400048,5400048,5400048,5400048,5400048,5400048,5400048,Ramage Elementary,Boone County Schools,Boone County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:12:18 ,37.983013,37.983013,37.983013,37.983013,37.983013,37.983013,37.983013,37.983013,37.983013,37.982576,37.982576,-81.822673,-81.822673,-81.822673,-81.822673,-81.822673,-81.822673,-81.822673,-81.822673,-81.822673,-81.821573,-81.821573
RANDOLPH COUNTY ALTERNATIVE CENTER,West Virginia,5401017,5401017,5401017,5401017,5401017,5401017,5401017,5401017,5401017,5401017,5401017,Randolph County Alternative Center,Randolph County Schools,Randolph County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:17:26 ,38.917031,38.917031,38.917031,38.917031,38.917031,38.917031,38.917031,38.917031,38.915578,38.917144,38.917144,-79.851374,-79.851374,-79.851374,-79.851374,-79.851374,-79.851374,-79.851374,-79.851374,-79.851896,-79.851702,-79.851702
RANDOLPH TECHNICAL CENTER,West Virginia,5401416,5401416,5401416,5401416,5401416,5401416,5401416,5401416,5401416,5401416,5401416,Randolph Technical Center,Randolph County Schools,Randolph County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:17:27 ,38.890335,38.890335,38.890335,38.890335,38.890335,38.890335,38.890335,38.890335,38.890335,38.943102,38.943102,-79.852168,-79.852168,-79.852168,-79.852168,-79.852168,-79.852168,-79.852168,-79.852168,-79.852168,-79.851775,-79.851775
RANGER ELEMENTARY,West Virginia,†,5400500,5400500,5400500,5400500,5400500,5400500,5400500,5400500,5400500,5400500,†,†,†,†,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,†,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,†,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:14:56 ,†,38.121944,38.121944,38.121944,38.121944,38.121944,38.121944,38.121944,38.121944,38.121582,38.120284,†,-82.190894,-82.190894,-82.190894,-82.190894,-82.190894,-82.190894,-82.190894,-82.190894,-82.190258,-82.186020
RANSON ELEMENTARY SCHOOL,West Virginia,5400347,5400347,5400347,5400347,5400347,5400347,5400347,5400347,5400347,5400347,5400347,Ranson Elementary School,Jefferson County Schools,Jefferson County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:14:06 ,39.317680,39.303274,39.303274,39.303274,39.303274,39.303274,39.303274,39.303274,39.303274,39.303451,39.303451,-77.863692,-77.861603,-77.861603,-77.861603,-77.861603,-77.861603,-77.861603,-77.861603,-77.861603,-77.861817,-77.861817
RAVENSWOOD GRADE SCHOOL,West Virginia,5400335,5400335,5400335,5400335,5400335,5400335,5400335,5400335,5400335,5400335,5400335,Ravenswood Grade School,Jackson County Schools,Jackson County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:14:01 ,38.944143,38.944143,38.944143,38.944143,38.944143,38.944143,38.944143,38.944143,38.944143,38.944143,38.944143,-81.736874,-81.736874,-81.736874,-81.736874,-81.736874,-81.736874,-81.736874,-81.736874,-81.736874,-81.736874,-81.736874
RAVENSWOOD HIGH SCHOOL,West Virginia,5400336,5400336,5400336,5400336,5400336,5400336,5400336,5400336,5400336,5400336,5400336,Ravenswood High School,Jackson County Schools,Jackson County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:14:03 ,38.952091,38.952091,38.952091,38.952091,38.952091,38.952091,38.952091,38.952091,38.952091,38.952273,38.951212,-81.760413,-81.760413,-81.760413,-81.760413,-81.760413,-81.760413,-81.760413,-81.760413,-81.760413,-81.761252,-81.759020
RAVENSWOOD MIDDLE SCHOOL,West Virginia,5401240,5401240,5401240,5401240,5401240,5401240,5401240,5401240,5401240,5401240,5401240,Ravenswood Middle School,Jackson County Schools,Jackson County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:14:02 ,38.952393,38.952393,38.952393,38.952393,38.952393,38.952255,38.950647,38.950647,38.950647,38.952421,38.952421,-81.759671,-81.759671,-81.759671,-81.759671,-81.759671,-81.759990,-81.758729,-81.758729,-81.758729,-81.759327,-81.759327
REEDY ELEMENTARY SCHOOL,West Virginia,†,†,†,†,†,†,†,†,†,5401030,5401030,†,†,†,†,†,†,†,†,†,†,†,†,1-Open,1-Open,†,†,†,†,†,†,†,†,†,1-Open,1-Open,†,†,†,†,†,†,†,†,†,08/08/16           ,19FEB2015:10:17:31 ,†,†,†,†,†,†,†,†,†,38.901575,38.804440,†,†,†,†,†,†,†,†,†,-81.429087,-81.354530
RICHMOND ELEMENTARY SCHOOL,West Virginia,5400437,5400437,5400437,5400437,5400437,5400437,5400437,5400437,5400437,5400437,5400437,Richmond Elementary School,Kanawha County Schools,Kanawha County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:14:29 ,38.345416,38.345416,38.345416,38.345416,38.345416,38.345416,38.345416,38.345416,38.345416,38.345610,38.345610,-81.724531,-81.724531,-81.724531,-81.724531,-81.724531,-81.724531,-81.724531,-81.724531,-81.724531,-81.724408,-81.724408
RICHWOOD HIGH SCHOOL,West Virginia,5400847,5400847,5400847,5400847,5400847,5400847,5400847,5400847,5400847,5400847,5400847,Richwood High School,Nicholas County Schools,Nicholas County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:16:29 ,38.338062,38.338062,38.338062,38.338062,38.338062,38.338062,38.338062,38.223442,38.223442,38.223322,38.223322,-80.676827,-80.676827,-80.676827,-80.676827,-80.676827,-80.676827,-80.676827,-80.529253,-80.529253,-80.529396,-80.529396
RICHWOOD MIDDLE SCHOOL,West Virginia,5400846,5400846,5400846,5400846,5400846,5400846,5400846,5400846,5400846,5400846,5400846,Richwood Middle School,Nicholas County Schools,Nicholas County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:16:27 ,38.338062,38.338062,38.338062,38.338062,38.219053,38.219053,38.219053,38.224704,38.224704,38.224009,38.224009,-80.676827,-80.676827,-80.676827,-80.676827,-80.553350,-80.553350,-80.553350,-80.527954,-80.527954,-80.528335,-80.528335
RIDGEDALE ELEMENTARY SCHOOL,West Virginia,5400763,5400763,5400763,5400763,5400763,5400763,5400763,5400763,5400763,5400763,5400763,Ridgedale Elementary School,Monongalia County Schools,Monongalia County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:15:59 ,39.550555,39.550555,39.550555,39.550555,39.550555,39.550555,39.550555,39.550555,39.550555,39.551083,39.551083,-79.939877,-79.939877,-79.939877,-79.939877,-79.939877,-79.939877,-79.939877,-79.939877,-79.939877,-79.939611,-79.939611
RIDGEVIEW ELEMENTARY,WEST VIRGINIA,5401591,5401591,5401591,5401591,5401591,5401591,5401591,†,†,†,†,Ridgeview Elementary,Raleigh County Schools,Raleigh County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,3-New,†,†,†,†,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,3-New,†,†,†,†,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,†,†,†,†,37.725898,37.725898,37.725898,37.725898,37.725898,37.725898,37.725788,†,†,†,†,-81.253866,-81.253866,-81.253866,-81.253866,-81.253866,-81.253866,-81.253624,†,†,†,†
RIPLEY ELEMENTARY SCHOOL,West Virginia,5400337,5400337,5400337,5400337,5400337,5400337,5400337,5400337,5400337,5400337,5400337,Ripley Elementary School,Jackson County Schools,Jackson County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:14:02 ,38.815384,38.815384,38.815384,38.815384,38.815384,38.815384,38.815384,38.815384,38.815202,38.818002,38.818002,-81.699899,-81.699899,-81.699899,-81.699899,-81.699899,-81.699899,-81.699899,-81.699899,-81.700032,-81.711284,-81.711284
RIPLEY HIGH SCHOOL,West Virginia,5400338,5400338,5400338,5400338,5400338,5400338,5400338,5400338,5400338,5400338,5400338,Ripley High School,Jackson County Schools,Jackson County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:14:04 ,38.812411,38.812411,38.812411,38.812411,38.812411,38.812411,38.812411,38.812411,38.812914,38.813025,38.813025,-81.701267,-81.701267,-81.701267,-81.701267,-81.701267,-81.701267,-81.701267,-81.701267,-81.701766,-81.701681,-81.701681
RIPLEY MIDDLE SCHOOL,West Virginia,5401239,5401239,5401239,5401239,5401239,5401239,5401239,5401239,5401239,5401239,5401239,Ripley Middle School,Jackson County Schools,Jackson County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:14:03 ,38.807321,38.807321,38.807321,38.807321,38.807321,38.807321,38.807321,38.807321,38.807220,38.807220,38.815511,-81.705077,-81.705077,-81.705077,-81.705077,-81.705077,-81.705077,-81.705077,-81.705077,-81.705191,-81.705191,-81.700727
RITCHIE COUNTY HIGH SCHOOL,West Virginia,5401021,5401021,5401021,5401021,5401021,5401021,5401021,5401021,5401021,5401021,5401021,Ritchie County High School,Ritchie County Schools,Ritchie County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:17:30 ,39.262784,39.262784,39.262784,39.262784,39.262784,39.262784,39.262784,39.262784,39.263115,39.263115,39.263045,-81.064148,-81.064148,-81.064148,-81.064148,-81.064148,-81.064148,-81.064148,-81.064148,-81.063593,-81.063593,-81.063823
RITCHIE COUNTY MIDDLE,West Virginia,5400663,5400663,5400663,5400663,5400663,5400663,5400663,5400663,5400663,5400663,5400663,Ritchie County Middle,Ritchie County Schools,Ritchie County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:17:29 ,39.262784,39.262784,39.262784,39.262784,39.262784,39.262784,39.262784,39.262784,39.263115,39.263115,39.263115,-81.064148,-81.064148,-81.064148,-81.064148,-81.064148,-81.064148,-81.064148,-81.064148,-81.063593,-81.063593,-81.063593
RITCHIE ELEMENTARY SCHOOL,West Virginia,5400866,5400866,5400866,5400866,5400866,5400866,5400866,5400866,5400866,5400866,5400866,Ritchie Elementary School,Ohio County Schools,Ohio County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:16:32 ,40.044785,40.044785,40.044785,40.044785,40.044785,40.044785,40.044785,40.044785,40.044785,40.044895,40.044895,-80.723541,-80.723541,-80.723541,-80.723541,-80.723541,-80.723541,-80.723541,-80.723541,-80.723541,-80.723702,-80.723702
RIVER VIEW HIGH SCHOOL,West Virginia,5401477,5401477,5401477,5401477,5401477,5401477,5401477,5401477,5401477,5401477,5401477,River View High School,McDowell County Schools,McDowell County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:16:20 ,37.358089,37.358089,37.358089,37.358089,37.358089,37.358089,37.358089,37.358089,37.358089,37.357893,37.357893,-81.802096,-81.802096,-81.802096,-81.802096,-81.802096,-81.802096,-81.802096,-81.802096,-81.802096,-81.803158,-81.803158
RIVERSIDE HIGH SCHOOL,West Virginia,5401043,5401043,5401043,5401043,5401043,5401043,5401043,5401043,5401043,5401043,5401043,Riverside High School,Kanawha County Schools,Kanawha County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:14:48 ,38.207609,38.207609,38.207609,38.207609,38.207609,38.207609,38.207609,38.207609,38.207609,38.207743,38.207743,-81.513091,-81.513091,-81.513091,-81.513091,-81.513091,-81.513091,-81.513091,-81.513091,-81.513091,-81.512991,-81.512991
RIVESVILLE ELEMENTARY/MIDDLE SCHOOL,West Virginia,5400574,5400574,5400574,5400574,5400574,5400574,5400574,5400574,5400574,5400574,5400574,Rivesville Elementary/Middle School,Marion County Schools,Marion County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:15:08 ,39.531535,39.531535,39.531535,39.531535,39.531535,39.531535,39.531535,39.531535,39.531535,39.532100,39.532100,-80.128010,-80.128010,-80.128010,-80.128010,-80.128010,-80.128010,-80.128010,-80.128010,-80.128010,-80.127620,-80.127620
ROAD BRANCH ELEMENTARY & MIDDLE SCHOOL,West Virginia,5401218,5401218,5401218,5401218,5401218,5401218,5401218,5401218,5401218,5401218,5401218,Road Branch Elementary & Middle School,Wyoming County Schools,Wyoming County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:18:28 ,37.753760,37.753760,37.753760,37.753760,37.753760,37.753760,37.753760,37.753760,37.753760,37.742876,37.742876,-81.670051,-81.670051,-81.670051,-81.670051,-81.670051,-81.670051,-81.670051,-81.670051,-81.670051,-81.679136,-81.679136
